"Anno di dimissione;""Codice Istituto"";""Denominazione Istituto"";""Num decessi"";""Num dimissioni a domicilio"";""Num dimissioni verso altra struttura"""
"2022;""01007905"";""OSPEDALE DI VENARIA"";""76"";""110"";""164"""
"2022;""01012401"";""OSPEDALE DI MONDOVI'"";""237"";""6.610"";""1.230"""
"2022;""01012402"";""OSPEDALE DI CEVA"";""57"";""1.104"";""163"""
"2022;""01012601"";""OSPEDALE DI SAVIGLIANO"";""255"";""8.300"";""1.086"""
"2022;""01012602"";""OSPEDALE DI SALUZZO"";""192"";""896"";""309"""
"2022;""01012604"";""OSPEDALE DI FOSSANO"";""19"";""471"";""172"""
"2022;""01060100"";""CLINICA PINNA PINTOR SRL"";""***"";""1.227"";""***"""
"2022;""01060300"";""CLINICA SANTA CATERINA DA SIENA S.R.L."";""***"";""951"";""***"""
"2022;""01060400"";""SEDES SAPIENTIAE SRL"";""***"";""814"";""***"""
"2022;""01061000"";""CASA DI CURA FORNACA DISESSANT"";""7"";""4.030"";""***"""
"2022;""01061100"";""VILLA MARIA PIA HOSPITAL"";""45"";""5.793"";""853"""
"2022;""01061200"";""CASA DI CURA KOELLIKER OSPEDALINO"";""9"";""3.573"";""420"""
"2022;""01061400"";""CASA DI CURA VILLE AUGUSTA - S.R.L."";""***"";""887"";""43"""
"2022;""01061500"";""CASA DI CURA VILLA PATRIZIA - S.R.L."";""***"";""154"";""146"""
"2022;""01061600"";""CASA DI CURA CLINICA EPOREDIESE"";""24"";""1.824"";""394"""
"2022;""01061700"";""CASA DI CURA VILLE TURINA AMIONE"";""***"";""779"";""506"""
"2022;""01061800"";""CASA DI CURA E RIPOSO S. LUCA S.P.A."";""***"";""3.411"";""***"""
"2022;""01062000"";""CASA DI CURA VILLA DI SALUTE SPA"";""***"";""422"";""263"""
"2022;""01062100"";""CASA DI CURA VILLA SERENA - S.P.A."";""13"";""1.307"";""213"""
"2022;""01062200"";""CASA DI CURA VILLA IDA"";""81"";""779"";""259"""
"2022;""01062300"";""VILLA PAPA GIOVANNI XXIII"";""103"";""1.004"";""158"""
"2022;""01062600"";""POLICLINICO DI MONZA SPA - CASA DI CURA"";""***"";""2.410"";""370"""
"2022;""01062700"";""CASA DI CURA SAN GIORGIO SRL"";""***"";""395"";""69"""
"2022;""01062800"";""POLICLINICO DI MONZA SPA - PRESIDIO CLIN"";""6"";""1.920"";""401"""
"2022;""01062900"";""CASA DI CURA L'EREMO DI MIAZZINA"";""70"";""583"";""324"""
"2022;""01063000"";""CASA DI CURA S.CARLO DI ARONA"";""99"";""316"";""56"""
"2022;""01063100"";""CASA DI CURA SAN MICHELE"";""***"";""488"";""31"""
"2022;""01063200"";""CASA DI CURA CITTA' DI BRA"";""***"";""5.726"";""870"""
"2022;""01063300"";""ISTITUTO CLIMATICO DI ROBILANTE S.R.L."";""77"";""374"";""320"""
"2022;""01063400"";""CASA DI CURA MONTESERRAT S.R.L"";""92"";""142"";""205"""
"2022;""01063500"";""CASA DI CURA """"LA RESIDENZA"""""";""***"";""990"";""102"""
"2022;""01063900"";""CASA DI CURA S. ANNA SPA"";""***"";""1.008"";""***"""
"2022;""01064100"";""CASA DI CURA VILLA IGEA"";""***"";""2.965"";""1.384"""
"2022;""01064200"";""CASA DI CURA SANT'ANNA"";""***"";""498"";""30"""
"2022;""01064400"";""CASA DI CURA VILLA GRAZIA"";""90"";""712"";""331"""
"2022;""01064600"";""CASA DI CURA VILLA IRIS SRL"";""131"";""614"";""265"""
"2022;""01064700"";""FONDAZIONE ORIZZONTE SPERANZA - ONLUS CA"";""***"";""1.065"";""88"""
"2022;""01064800"";""ADRIANA S.R.L."";""45"";""558"";""159"""
"2022;""01064900"";""HABILITA S.P.A. - PRESIDIO I CEDRI"";""***"";""1.999"";""390"""
"2022;""01065100"";""CASA DI CURA MADONNA DEI BOSCHI"";""***"";""511"";""68"""
"2022;""01065300"";""PROMEA S.P.A."";""***"";""136"";""***"""
"2022;""01065500"";""CASA DI CURA CELLINI"";""***"";""5.088"";""717"""
"2022;""01065600"";""POLICLINICO DI MONZA S.P.A. PRESIDIO CLI"";""***"";""487"";""103"""
"2022;""01065700"";""CASA DI CURA CENTRO R.R.F. MONS. LUIGI N"";""14"";""773"";""185"""
"2022;""01065900"";""S.R.L. TERAPEUTICENTER - ISTITUTO MEDICO"";""***"";""***"";""***"""
"2022;""01066200"";""MOD CENTRO MEDICO CHIRURGICO"";""***"";""16"";""***"""
"2022;""01066400"";""LARC 2 S.R.L."";""***"";""53"";""***"""
"2022;""01066500"";""CASA DI CURA VILLA CRISTINA"";""***"";""775"";""249"""
"2022;""01066600"";""POLICLINICO DI MONZA"";""31"";""3.994"";""1.636"""
"2022;""01066800"";""LARC SPA DAY SURGERY TIPO C"";""***"";""***"";""***"""
"2022;""01067000"";""BIOMED SRL"";""***"";""13"";""***"""
"2022;""01089100"";""BEATA VERGINE CONSOLATA"";""***"";""1.511"";""169"""
"2022;""01089200"";""PRESIDIO SANITARIO GRADENIGO"";""299"";""7.151"";""1.311"""
"2022;""01089300"";""PRESIDIO SANITARIO SAN CAMILLO"";""***"";""1.285"";""193"""
"2022;""01089700"";""PRESIDIO SANITARIO OSPEDALE COTTOLENGO"";""130"";""5.072"";""684"""
"2022;""01089800"";""PRESIDIO MAJOR"";""***"";""662"";""103"""
"2022;""01090400"";""AZIENDA OSPEDALIERO UNIVERSITARIA S.LUIG"";""752"";""13.474"";""1.373"""
"2022;""01090501"";""OSP. MAGGIORE DELLA CARITA'"";""1.045"";""26.445"";""3.242"""
"2022;""01090502"";""OSPEDALE SAN ROCCO GALLIATE"";""51"";""572"";""79"""
"2022;""01090600"";""AZ. OSPEDAL. S. CROCE E CARLE"";""847"";""25.167"";""2.589"""
"2022;""01090701"";""OSP.CIVILE SS.ANTONIO E BIAGIO"";""870"";""18.259"";""2.418"""
"2022;""01090702"";""OSP. INFANTILE C.ARRIGO"";""9"";""4.797"";""70"""
"2022;""01090703"";""CENTRO RIABILITATIVO POLIFUNZIONALE T.BO"";""***"";""771"";""146"""
"2022;""01090800"";""OSPEDALE MAURIZIANO UMBERTO I - TORINO"";""882"";""21.503"";""1.679"""
"2022;""01090901"";""OSPEDALE SAN GIOVANNI BATTISTA MOLINETTE"";""1.515"";""35.318"";""3.037"""
"2022;""01090904"";""OSPEDALE CENTRO TRAUMATOLOGICO ORTOPEDIC"";""130"";""8.313"";""1.389"""
"2022;""01090906"";""OSPEDALE OSTETRICO GINECOLOGICO SANT'ANN"";""37"";""21.838"";""109"""
"2022;""01090907"";""OSPEDALE INFANTILE REGINA MARGHERITA"";""26"";""12.578"";""257"""
"2022;""01092000"";""ISTITUTO AUXOLOGICO ITALIANO"";""11"";""3.425"";""1.451"""
"2022;""01092100"";""FONDAZIONE SALVATORE MAUGERI"";""61"";""2.286"";""380"""
"2022;""01092200"";""FONDAZIONE DEL PIEMONTE PER L'ONCOLOGIA"";""58"";""6.027"";""67"""
"2022;""01099900"";""AUSILIATRICE DON GNOCCHI"";""***"";""276"";""150"""
"2022;""02000100"";""OSPEDALE REGIONALE UMBERTO PARINI"";""571"";""14.014"";""1.922"""
"2022;""02000200"";""ISAV SPA"";""***"";""1.362"";""501"""
"2022;""03000400"";""OSPEDALE DI CIRCOLO - BUSTO ARSIZIO"";""584"";""11.583"";""1.103"""
"2022;""03000600"";""OSP. S. ANTONIO ABATE - GALLARATE"";""405"";""7.560"";""731"""
"2022;""03000800"";""OSP. GENERALE PROVINCIALE - SARONNO"";""387"";""3.969"";""658"""
"2022;""03000900"";""OSPEDALE A.BELLINI - SOMMA LOMBARDO"";""98"";""1.187"";""299"""
"2022;""03001000"";""OSPEDALE GALMARINI - TRADATE"";""234"";""5.112"";""762"""
"2022;""03001200"";""OSPEDALE CARLO ONDOLI - ANGERA"";""103"";""1.494"";""331"""
"2022;""03001500"";""CASA DI CURA SANTA MARIA - CASTELLANZA"";""8"";""4.068"";""501"""
"2022;""03001700"";""CASA DI CURA MATER DOMINI - CASTELLANZA"";""173"";""7.616"";""608"""
"2022;""03002201"";""STABILIMENTO CANTU'"";""168"";""3.987"";""502"""
"2022;""03002202"";""STABILIMENTO MARIANO"";""***"";""218"";""96"""
"2022;""03002300"";""OSPEDALE  UMBERTO I -  BELLANO"";""***"";""377"";""15"""
"2022;""03002400"";""OSPEDALE DI CIRCOLO S.L.MANDIC-MERATE"";""254"";""5.925"";""592"""
"2022;""03002600"";""OSPEDALE ERBA-  RENALDI - MENAGGIO"";""51"";""921"";""147"""
"2022;""03002900"";""OSP.SACRA FAMIGLIA - F.B.F. - ERBA"";""198"";""6.154"";""320"""
"2022;""03003000"";""OSPEDALE  VALDUCE"";""342"";""8.805"";""732"""
"2022;""03003100"";""OSP. MORIGGIA PELASCINI - GRAVEDONA"";""271"";""6.971"";""609"""
"2022;""03003200"";""IST.CLINICO VILLA APRICA SPA-COMO"";""***"";""4.656"";""638"""
"2022;""03003300"";""CASA DI CURA BEATO L.TALAMONI-LECCO"";""16"";""1.100"";""258"""
"2022;""03003400"";""CASA DI CURA G.B. MANGIONI - LECCO"";""7"";""2.159"";""57"""
"2022;""03003500"";""C.O.F. LANZO HOSPITAL - ALTA VALLE INTEL"";""21"";""2.409"";""613"""
"2022;""03003700"";""CASA DI CURA VILLA S. BENEDETTO-ALBESE"";""***"";""801"";""12"""
"2022;""03003800"";""CASA DI CURA LE BETULLE-APPIANO GENTILE"";""8"";""1.369"";""7"""
"2022;""03004200"";""OSPEDALE SONDRIO"";""282"";""8.588"";""644"""
"2022;""03004400"";""OSPEDALE DI CHIAVENNA"";""39"";""448"";""66"""
"2022;""03004500"";""OSPEDALE  MORBEGNO"";""***"";""39"";""30"""
"2022;""03005100"";""P.O.  CITTA' DI SESTO S. GIOVANNI"";""100"";""5.892"";""408"""
"2022;""03005600"";""PRESIDIO OSPED. V. BUZZI - MILANO"";""15"";""12.150"";""154"""
"2022;""03005700"";""OSPEDALE M. MELLONI - MILANO"";""***"";""5.629"";""34"""
"2022;""03005800"";""OSPEDALE BASSINI - CINISELLO BALSAMO"";""422"";""5.866"";""1.124"""
"2022;""03006600"";""OSPEDALE G.SALVINI-GARBAGNATE MIL.SE"";""407"";""9.625"";""1.170"""
"2022;""03006700"";""OSPEDALE MAGGIORE DI LODI"";""347"";""11.042"";""1.635"""
"2022;""03006800"";""PRESIDIO OSPEDALIERO DI DESIO"";""343"";""10.571"";""819"""
"2022;""03007000"";""PRESIDIO OSPEDALIERO DI CARATE"";""113"";""5.185"";""311"""
"2022;""03007101"";""OSPEDALE S. MARIA DELLE STELLE MELZO"";""187"";""4.006"";""461"""
"2022;""03007201"";""OSPEDALE DI  VIZZOLO PREDABISSI"";""368"";""8.371"";""960"""
"2022;""03007202"";""OSPEDALE A. ZAPPATONI-CASSANO D'ADDA"";""***"";""356"";""35"""
"2022;""03007300"";""OSPEDALE DI CIRCOLO - RHO"";""332"";""7.242"";""513"""
"2022;""03007401"";""OSPEDALE G. FORNAROLI MAGENTA"";""358"";""10.279"";""941"""
"2022;""03007402"";""OSPEDALE C. CANTU' ABBIATEGRASSO"";""78"";""1.541"";""266"""
"2022;""03007800"";""PRESIDIO OSPEDALIERO DI VIMERCATE"";""456"";""13.372"";""601"""
"2022;""03007900"";""OSPEDALE CIVICO - CODOGNO"";""99"";""2.854"";""450"""
"2022;""03008000"";""OSPEDALE ROSSI - CASALPUSTERLENGO"";""8"";""197"";""111"""
"2022;""03008200"";""P.O. TRABATTONI RONZONI DI SEREGNO"";""13"";""664"";""99"""
"2022;""03008300"";""OSPEDALE DELMATI - SANT'ANGELO LODIGIANO"";""47"";""759"";""338"""
"2022;""03008501"";""OSPEDALE UBOLDO - CERNUSCO S/NAVIGLIO"";""275"";""3.356"";""588"""
"2022;""03008502"";""OSPEDALE CROTTA OLTROCCHI-VAPRIO D'ADDA"";""***"";""192"";""***"""
"2022;""03009600"";""CASA DI CURA DEL POLICLINICO - MILANO"";""8"";""542"";""106"""
"2022;""03009700"";""ISTITUTO CLINICO CITTA' STUDI - MILANO"";""485"";""9.632"";""1.123"""
"2022;""03010000"";""CASA DI CURA IGEA - MILANO"";""20"";""2.784"";""87"""
"2022;""03010300"";""CASA DI CURA PALAZZOLO-FOND.DON GNOCCHI"";""69"";""677"";""437"""
"2022;""03010500"";""CASA DI CURA S. CAMILLO - MILANO"";""6"";""1.234"";""6"""
"2022;""03010600"";""CASA DI CURA POLICLINICO - MONZA"";""287"";""7.225"";""817"""
"2022;""03010700"";""ISTITUTI CLINICI ZUCCHI SPA-MONZA"";""***"";""8.202"";""1.135"""
"2022;""03010800"";""CASA DI CURA ZUCCHI - CARATE BRIANZA"";""6"";""680"";""138"""
"2022;""03010900"";""CASA DI CURA VILLA BIANCA - LIMBIATE"";""***"";""502"";""126"""
"2022;""03011000"";""CASA DI CURA S. GIOVANNI - MILANO"";""***"";""1.796"";""***"""
"2022;""03011200"";""IST.CLINICO S.AMBROGIO SPA-MILANO"";""35"";""3.940"";""15"""
"2022;""03011300"";""CASA DI CURA LA MADONNINA - MILANO"";""8"";""3.964"";""12"""
"2022;""03011600"";""CLINICA POLISPECIALISTICA SAN CARLO - S."";""248"";""4.921"";""513"""
"2022;""03012100"";""CASA DI CURA S. PIO X - MILANO"";""***"";""9.272"";""297"""
"2022;""03012400"";""ISTITUTO STOMATOLOGICO ITALIANO - MILANO"";""***"";""553"";""***"""
"2022;""03012500"";""CASA DI CURA AMBROSIANA SPA-CESANO B."";""26"";""1.775"";""159"""
"2022;""03013100"";""OSPEDALE DI TREVIGLIO E CARAVAGGIO"";""331"";""10.662"";""861"""
"2022;""03013200"";""OSPEDALE CIVILE - S.GIOVANNI BIANCO"";""44"";""2.086"";""108"""
"2022;""03013300"";""OSPEDALE PESENTI FENAROLI - ALZANO L."";""127"";""4.176"";""647"""
"2022;""03013600"";""OSPEDALE BRIOLINI - GAZZANIGA"";""***"";""281"";""57"""
"2022;""03013700"";""OSP.LE SS.CAPITANIO E GEROSA - LOVERE"";""44"";""1.959"";""369"""
"2022;""03013800"";""OSP.LE SS.TRINITA'-ROMANO DI LOMBARDIA"";""77"";""2.867"";""451"""
"2022;""03014000"";""OSPEDALE BOLOGNINI - SERIATE"";""274"";""11.445"";""910"""
"2022;""03014300"";""HUMANITAS GAVAZZENI"";""257"";""12.020"";""1.090"""
"2022;""03014400"";""CASA DI CURA BEATO PALAZZOLO - BERGAMO"";""24"";""2.480"";""465"""
"2022;""03014500"";""HUMANITAS CASTELLI"";""***"";""4.377"";""327"""
"2022;""03014600"";""CASA DI CURA S. FRANCESCO - BERGAMO"";""50"";""3.134"";""756"""
"2022;""03014700"";""POLICLINICO SAN MARCO - OSIO SOTTO"";""232"";""10.257"";""1.142"""
"2022;""03014800"";""POLICLINICO SAN PIETRO  - PONTE S. PIETR"";""214"";""11.575"";""1.551"""
"2022;""03014900"";""ISTITUTO CLINICO QUARENGHI SRL"";""***"";""1.244"";""122"""
"2022;""03015401"";""PRESIDIO OSPEDALIERO DI CHIARI"";""317"";""8.259"";""1.054"""
"2022;""03015600"";""OSPEDALE DI DESENZANO"";""221"";""8.498"";""935"""
"2022;""03015700"";""OSPEDALE CIVILE LA MEMORIA DI GAVARDO"";""134"";""3.409"";""1.048"""
"2022;""03015800"";""OSPEDALE DI LENO"";""***"";""526"";""123"""
"2022;""03015900"";""PRESIDIO OSPEDALIERO DI MONTICHIARI"";""159"";""4.877"";""745"""
"2022;""03016100"";""PRESIDIO OSPEDALIERO DI SALO'"";""***"";""303"";""110"""
"2022;""03016200"";""PRESIDIO OSPEDALIERO GARDONE V.T."";""145"";""2.998"";""662"""
"2022;""03016300"";""PRESIDIO OSPEDALIERO DI ISEO"";""86"";""2.328"";""510"""
"2022;""03016700"";""OSPEDALE DEI BAMBINI - BRESCIA"";""43"";""7.872"";""162"""
"2022;""03017500"";""CASA DI CURA S. CAMILLO - BRESCIA"";""7"";""2.135"";""408"""
"2022;""03017600"";""ISTITUTO CLINICO  S. ANNA - BRESCIA"";""250"";""11.419"";""1.445"""
"2022;""03017700"";""CASA DI CURA VILLA GEMMA-GARDONE RIV"";""16"";""696"";""433"""
"2022;""03017800"";""IST.CLIN. CITTA' DI BRESCIA - BRESCIA"";""196"";""8.949"";""1.763"""
"2022;""03018400"";""OSPEDALE DI MANERBIO"";""259"";""8.389"";""936"""
"2022;""03019000"";""OSPEDALE CARLO MIRA-CASORATE PRIMO"";""9"";""375"";""177"""
"2022;""03019100"";""OSPEDALE S.MARTINO - MEDE"";""160"";""456"";""303"""
"2022;""03019200"";""OSPEDALE SS.ANNUNZIATA - VARZI"";""80"";""269"";""180"""
"2022;""03019300"";""OSPEDALE CIVILE - VIGEVANO"";""383"";""6.121"";""815"""
"2022;""03019400"";""OSPEDALE CIVILE - VOGHERA"";""479"";""5.355"";""1.235"""
"2022;""03019700"";""CASA DI CURA VILLA ESPERIA"";""***"";""1.319"";""39"""
"2022;""03019800"";""ISTITUTO CLINICO BEATO MATTEO"";""182"";""5.229"";""753"""
"2022;""03020100"";""CASA DI CURA CITTADELLA SOCIALE"";""***"";""1.545"";""17"""
"2022;""03020200"";""IST.DI CURA CITTA'DI PAVIA"";""18"";""3.729"";""639"""
"2022;""03020300"";""OSPEDALE ASILO VITTORIA - MORTARA"";""158"";""1.416"";""331"""
"2022;""03020900"";""OSPEDALE MAGGIORE - CREMA"";""432"";""9.419"";""1.420"""
"2022;""03021500"";""OSPEDALE S. MARTA - RIVOLTA D'ADDA"";""7"";""438"";""81"""
"2022;""03021700"";""CASA DI CURA ANCELLE DELLA CARITA'-CR"";""***"";""358"";""149"""
"2022;""03021800"";""CASA DI CURA S. CAMILLO - CREMONA"";""***"";""1.796"";""306"""
"2022;""03021900"";""CASA DI CURA FIGLIE DI S.CAMILLO-CR"";""7"";""4.313"";""624"""
"2022;""03022701"";""PRESIDIO OSPEDALIERO - ASOLA"";""51"";""1.832"";""175"""
"2022;""03022702"";""PRES. RIABIL. MULTIFUNZ. BOZZOLO"";""***"";""277"";""59"""
"2022;""03023900"";""OSP.CIVILE DESTRA SECCHIA-PIEVE CORIANO"";""172"";""4.371"";""387"""
"2022;""03025900"";""CASA DI CURA S. CLEMENTE - MANTOVA"";""22"";""2.729"";""573"""
"2022;""03026600"";""CASA DI CURA COLUMBUS - MILANO"";""***"";""2.973"";""10"""
"2022;""03027300"";""OSPEDALE OGLIO PO"";""172"";""2.858"";""772"""
"2022;""03027401"";""OSPEDALE VALCAMONICA - ESINE"";""235"";""7.509"";""986"""
"2022;""03027402"";""OSPEDALE VALCAMONICA - EDOLO"";""47"";""661"";""101"""
"2022;""03027500"";""ISTITUTO CLINICO S. ROCCO S.P.A. - OME"";""68"";""6.674"";""1.274"""
"2022;""03028101"";""OSPEDALE CIVILE DI LEGNANO"";""789"";""17.177"";""1.729"""
"2022;""03028102"";""OSPEDALE DI CUGGIONO"";""66"";""2.162"";""165"""
"2022;""03028201"";""OSPED.CIRCOLO CAUSA PIA LUVINI-CITTIGLIO"";""139"";""4.654"";""514"""
"2022;""03028202"";""OSPEDALE LUINI CONFALONIERI - LUINO"";""102"";""1.869"";""275"""
"2022;""03028300"";""OSPEDALE G.CASATI-PASSIRANA RHO"";""***"";""192"";""45"""
"2022;""03028400"";""CENTRO DI RIABIL.VILLA BERETTA-COSTA M"";""***"";""723"";""195"""
"2022;""03029400"";""CASA DI CURA  DOMUS SALUTIS - BRESCIA"";""8"";""1.830"";""284"""
"2022;""03029500"";""FONDAZIONE POLIAMBULANZA - BRESCIA"";""493"";""26.483"";""2.597"""
"2022;""03033700"";""VILLA SANT'APOLLONIA S.R.L. - BERGAMO"";""***"";""305"";""***"""
"2022;""03034700"";""CASA DI CURA VILLA S. GIUSEPPE-ANZANO DE"";""***"";""539"";""47"""
"2022;""03034800"";""CASA DI CURA VILLA BARBARANO - SALO'"";""21"";""646"";""214"""
"2022;""03035000"";""OSPEDALE S.ISIDORO - TRESCORE B."";""17"";""848"";""196"""
"2022;""03035200"";""POLO GERIATRICO RIABILITATIVO-CINISELLO"";""***"";""520"";""185"""
"2022;""03035300"";""OSPEDALE CIVILE DI VOLTA MANTOVANA"";""***"";""2.705"";""66"""
"2022;""03035400"";""NEPHROCARE S.P.A. - SERIATE"";""22"";""268"";""27"""
"2022;""03035500"";""OSPEDALE DI SUZZARA S.P.A."";""97"";""5.294"";""1.159"""
"2022;""03035600"";""ISTITUTO CLINICO HABILITA - CISERANO"";""27"";""366"";""101"""
"2022;""03035700"";""OSP. SAN PELLEGRINO - CASTIGLIONE D/S"";""160"";""4.820"";""78"""
"2022;""03035900"";""FONDAZIONE EUROPEA DI RICERCA BIOMEDICA"";""***"";""456"";""129"""
"2022;""03036000"";""FERB-ONLUS C.TRO ALZHEIMER-GAZZANIGA"";""***"";""221"";""126"""
"2022;""03036200"";""RESIDENZA ANNI AZZURRI - REZZATO"";""10"";""200"";""102"""
"2022;""03036300"";""RESIDENZA ANNI AZZURRI MIRASOLE - OPERA"";""***"";""241"";""117"""
"2022;""03036400"";""FOND. GAETANO E PIERA BORGHI - BREBBIA"";""6"";""588"";""63"""
"2022;""03036700"";""OSPEDALE S. GIUSEPPE - MILANO"";""232"";""10.313"";""462"""
"2022;""03036800"";""C.TRO RIAB.E.SPALENZA-FOND.DON GNOCCHI"";""30"";""872"";""202"""
"2022;""03036900"";""CENTRO MEDICO RICHIEDEI-PALAZZOLO S/O"";""33"";""273"";""132"""
"2022;""03037200"";""SINLAB ITALIA S.R.L. - COMO"";""***"";""84"";""***"""
"2022;""03037800"";""CENTRO CLINICO NEMO - FOND. SERENA - MIL"";""***"";""486"";""8"""
"2022;""03037900"";""HABILITA IST.CLINICO-OSP.LE DI SARNICO"";""46"";""1.029"";""165"""
"2022;""03038100"";""FOND. MB PER IL BAMBINO E LA SUA MAMMA -"";""17"";""8.249"";""101"""
"2022;""03038200"";""OSPEDALE M. O. ANTONIO LOCATELLI-PIARIO"";""102"";""2.486"";""387"""
"2022;""03038300"";""NUOVO OSPEDALE DI BRONI E STRADELLA"";""153"";""2.497"";""406"""
"2022;""03038400"";""C.R.C. MALATTIE RARE ALDO E CELE DACCO'-"";""***"";""371"";""***"""
"2022;""03038800"";""IST. RIV. E CURA-GRUPPO ISENI SANITA'"";""***"";""606"";""***"""
"2022;""03039700"";""CASA DI CURA LE TERRAZZE - CUNARDO"";""20"";""1.222"";""257"""
"2022;""03040800"";""CENTRO CLINICO NEMO"";""***"";""201"";""13"""
"2022;""03041700"";""ISTITUTI CLINICI SCIENTIFICI MAUGERI - L"";""***"";""284"";""76"""
"2022;""03090101"";""OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI"";""941"";""18.303"";""2.775"""
"2022;""03090102"";""OSPEDALE F. DEL PONTE - VARESE"";""20"";""12.355"";""72"""
"2022;""03090200"";""OSPEDALE S. ANNA - COMO"";""633"";""17.546"";""1.421"""
"2022;""03090300"";""OSPEDALE DI CIRCOLO A. MANZONI - LECCO"";""653"";""17.509"";""1.717"""
"2022;""03090400"";""OSPEDALE MORELLI - SONDALO"";""215"";""4.350"";""445"""
"2022;""03090500"";""OSPEDALE PAPA GIOVANNI XXIII - BG"";""624"";""37.470"";""1.992"""
"2022;""03090600"";""PRES.OSPEDAL.SPEDALI CIVILI BRESCIA"";""1.153"";""35.108"";""4.266"""
"2022;""03090700"";""OSPEDALE C. POMA - MANTOVA"";""584"";""18.598"";""1.578"""
"2022;""03090800"";""OSPEDALE DI CREMONA"";""621"";""14.486"";""2.220"""
"2022;""03090900"";""OSPEDALE S.GERARDO - MONZA"";""798"";""20.380"";""1.156"""
"2022;""03091000"";""OSPEDALE FATEBENEFRATELLI E OFTALMICO -"";""307"";""6.874"";""756"""
"2022;""03091100"";""ISTITUTO ORTOPEDICO GAETANO PINI - MILAN"";""17"";""7.886"";""1.287"""
"2022;""03091200"";""P.O. CENTRO TRAUMATOLOGICO ORTOPEDICO -"";""16"";""2.853"";""625"""
"2022;""03091300"";""OSPEDALE CA' GRANDA-NIGUARDA - MILANO"";""992"";""37.048"";""1.911"""
"2022;""03091400"";""OSPEDALE S. PAOLO - MILANO"";""653"";""17.474"";""1.317"""
"2022;""03091500"";""OSPEDALE S. CARLO BORROMEO - MILANO"";""686"";""11.811"";""1.553"""
