"Anno di dimissione;""Codice Istituto"";""Denominazione Istituto"";""Descrizione Sesso"";""Cl_età_0-5"";""Cl_età_06-12"";""Cl_età_13-18"";""Cl_età_19-24"";""Cl_età_25-34"";""Cl_età_35-44"";""Cl_età_45-54"";""Cl_età_55-64"";""Cl_età_65-74"";""Cl_età_over_75"""
"2022;""01000902"";""OSPEDALE SS.PIETRO E PAOLO"";""Femmina"";""***"";""***"";""9"";""48"";""212"";""158"";""98"";""114"";""178"";""622"""
"2022;""01000902"";""OSPEDALE SS.PIETRO E PAOLO"";""Maschio"";""***"";""***"";""***"";""8"";""7"";""21"";""42"";""80"";""159"";""424"""
"2022;""01001000"";""OSPEDALE OFTALMICO"";""Femmina"";""***"";""***"";""9"";""16"";""30"";""54"";""142"";""241"";""329"";""710"""
"2022;""01001000"";""OSPEDALE OFTALMICO"";""Maschio"";""***"";""***"";""33"";""53"";""65"";""64"";""212"";""303"";""442"";""720"""
"2022;""01001100"";""TORINO NORD EMERGENZA SAN GIOVANNI BOSCO"";""Femmina"";""***"";""***"";""27"";""81"";""182"";""271"";""551"";""828"";""1.144"";""2.043"""
"2022;""01001100"";""TORINO NORD EMERGENZA SAN GIOVANNI BOSCO"";""Maschio"";""***"";""***"";""81"";""149"";""281"";""389"";""787"";""1.360"";""1.898"";""2.679"""
"2022;""01001300"";""OSPEDALE AMEDEO DI SAVOIA"";""Femmina"";""***"";""***"";""6"";""14"";""55"";""62"";""90"";""82"";""104"";""207"""
"2022;""01001300"";""OSPEDALE AMEDEO DI SAVOIA"";""Maschio"";""***"";""***"";""***"";""15"";""54"";""68"";""138"";""172"";""183"";""275"""
"2022;""01001700"";""OSPEDALE CIVICO CHIVASSO"";""Femmina"";""412"";""53"";""51"";""152"";""659"";""505"";""507"";""524"";""756"";""1.576"""
"2022;""01001700"";""OSPEDALE CIVICO CHIVASSO"";""Maschio"";""450"";""70"";""100"";""124"";""165"";""208"";""420"";""631"";""1.002"";""1.610"""
"2022;""01001701"";""OSPEDALE CIVICO CHIVASSO"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""***"""
"2022;""01001701"";""OSPEDALE CIVICO CHIVASSO"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""***"""
"2022;""01001901"";""PRESIDIO OSPED. RIUNITO SEDE DI CIRIE'"";""Femmina"";""523"";""58"";""51"";""142"";""604"";""468"";""421"";""482"";""729"";""1.172"""
"2022;""01001901"";""PRESIDIO OSPED. RIUNITO SEDE DI CIRIE'"";""Maschio"";""549"";""88"";""78"";""76"";""112"";""217"";""488"";""786"";""1.104"";""1.403"""
"2022;""01001903"";""PRESIDIO OSPED. RIUNITO SEDE DI LANZO"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""21"";""53"";""329"""
"2022;""01001903"";""PRESIDIO OSPED. RIUNITO SEDE DI LANZO"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""***"";""6"";""27"";""52"";""293"""
"2022;""01002301"";""OSPEDALE CIVILE DI IVREA"";""Femmina"";""349"";""30"";""79"";""215"";""675"";""505"";""474"";""534"";""757"";""1.259"""
"2022;""01002301"";""OSPEDALE CIVILE DI IVREA"";""Maschio"";""363"";""41"";""68"";""80"";""115"";""176"";""410"";""627"";""985"";""1.393"""
"2022;""01002302"";""OSPEDALE CIVILE DI CUORGNE'"";""Femmina"";""***"";""***"";""***"";""13"";""15"";""28"";""86"";""101"";""144"";""506"""
"2022;""01002302"";""OSPEDALE CIVILE DI CUORGNE'"";""Maschio"";""***"";""***"";""11"";""21"";""54"";""61"";""130"";""195"";""252"";""521"""
"2022;""01002304"";""SAAPA S.P.A."";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""15"";""54"";""159"";""516"""
"2022;""01002304"";""SAAPA S.P.A."";""Maschio"";""***"";""***"";""***"";""***"";""***"";""6"";""32"";""50"";""89"";""286"""
"2022;""01002601"";""OSPEDALE SANTO SPIRITO CASALE"";""Femmina"";""142"";""***"";""28"";""149"";""380"";""379"";""472"";""653"";""794"";""1.693"""
"2022;""01002601"";""OSPEDALE SANTO SPIRITO CASALE"";""Maschio"";""153"";""***"";""42"";""77"";""175"";""205"";""387"";""656"";""886"";""1.384"""
"2022;""01002603"";""OSPEDALE SS. ANTONIO E MARGHERITA TORTON"";""Femmina"";""***"";""***"";""10"";""32"";""38"";""66"";""199"";""257"";""342"";""857"""
"2022;""01002603"";""OSPEDALE SS. ANTONIO E MARGHERITA TORTON"";""Maschio"";""***"";""***"";""14"";""48"";""68"";""60"";""190"";""282"";""297"";""575"""
"2022;""01002604"";""OSPEDALE SAN GIACOMO NOVI"";""Femmina"";""330"";""35"";""47"";""124"";""580"";""428"";""294"";""345"";""453"";""1.264"""
"2022;""01002604"";""OSPEDALE SAN GIACOMO NOVI"";""Maschio"";""392"";""31"";""43"";""57"";""76"";""104"";""273"";""559"";""775"";""1.251"""
"2022;""01002605"";""OSPEDALE CIVILE ACQUI"";""Femmina"";""***"";""***"";""7"";""11"";""27"";""49"";""100"";""158"";""218"";""705"""
"2022;""01002605"";""OSPEDALE CIVILE ACQUI"";""Maschio"";""***"";""***"";""30"";""43"";""46"";""68"";""159"";""265"";""292"";""631"""
"2022;""01002606"";""OSPEDALE CIVILE OVADA"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""6"";""12"";""32"";""65"";""264"""
"2022;""01002606"";""OSPEDALE CIVILE OVADA"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""***"";""22"";""43"";""94"";""217"""
"2022;""01003001"";""OSPEDALE CIVILE """"E.AGNELLI"""""";""Femmina"";""395"";""22"";""67"";""129"";""593"";""442"";""448"";""557"";""755"";""1.806"""
"2022;""01003001"";""OSPEDALE CIVILE """"E.AGNELLI"""""";""Maschio"";""431"";""31"";""81"";""86"";""155"";""248"";""483"";""714"";""1.023"";""1.706"""
"2022;""01003003"";""OSPEDALE DI POMARETTO"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""43"""
"2022;""01003003"";""OSPEDALE DI POMARETTO"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""36"";""48"""
"2022;""01003200"";""OSPEDALE DEGLI INFERMI"";""Femmina"";""476"";""70"";""114"";""205"";""861"";""756"";""677"";""972"";""1.283"";""2.929"""
"2022;""01003200"";""OSPEDALE DEGLI INFERMI"";""Maschio"";""502"";""81"";""118"";""139"";""183"";""282"";""697"";""1.271"";""1.950"";""2.961"""
"2022;""01003800"";""OSPEDALE MICHELE FERRERO E PIETRO FERRER"";""Femmina"";""533"";""40"";""107"";""220"";""907"";""780"";""687"";""830"";""1.029"";""1.805"""
"2022;""01003800"";""OSPEDALE MICHELE FERRERO E PIETRO FERRER"";""Maschio"";""581"";""65"";""118"";""130"";""234"";""304"";""641"";""1.002"";""1.376"";""2.013"""
"2022;""01007901"";""OSPEDALE DEGLI INFERMI"";""Femmina"";""476"";""46"";""54"";""161"";""758"";""530"";""429"";""625"";""938"";""2.321"""
"2022;""01007901"";""OSPEDALE DEGLI INFERMI"";""Maschio"";""542"";""47"";""69"";""93"";""160"";""223"";""631"";""976"";""1.456"";""2.599"""
"2022;""01007904"";""OSPEDALE CIVILE DI SUSA"";""Femmina"";""***"";""***"";""6"";""16"";""59"";""94"";""123"";""105"";""138"";""436"""
"2022;""01007904"";""OSPEDALE CIVILE DI SUSA"";""Maschio"";""***"";""***"";""12"";""26"";""49"";""63"";""120"";""184"";""211"";""420"""
"2022;""01007905"";""OSPEDALE DI VENARIA"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""10"";""15"";""132"""
"2022;""01007905"";""OSPEDALE DI VENARIA"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""17"";""17"";""148"""
"2022;""01012401"";""OSPEDALE DI MONDOVI'"";""Femmina"";""457"";""38"";""80"";""163"";""643"";""434"";""364"";""417"";""511"";""1.073"""
"2022;""01012401"";""OSPEDALE DI MONDOVI'"";""Maschio"";""455"";""63"";""64"";""78"";""171"";""238"";""399"";""563"";""788"";""1.078"""
"2022;""01012402"";""OSPEDALE DI CEVA"";""Femmina"";""***"";""***"";""***"";""***"";""9"";""22"";""49"";""86"";""171"";""336"""
"2022;""01012402"";""OSPEDALE DI CEVA"";""Maschio"";""***"";""***"";""***"";""***"";""6"";""15"";""53"";""116"";""170"";""287"""
"2022;""01012601"";""OSPEDALE DI SAVIGLIANO"";""Femmina"";""527"";""48"";""61"";""134"";""585"";""406"";""459"";""520"";""683"";""1.382"""
"2022;""01012601"";""OSPEDALE DI SAVIGLIANO"";""Maschio"";""560"";""70"";""103"";""100"";""171"";""251"";""474"";""765"";""1.020"";""1.322"""
"2022;""01012602"";""OSPEDALE DI SALUZZO"";""Femmina"";""***"";""***"";""***"";""***"";""6"";""19"";""52"";""81"";""147"";""395"""
"2022;""01012602"";""OSPEDALE DI SALUZZO"";""Maschio"";""***"";""***"";""9"";""7"";""15"";""19"";""37"";""81"";""159"";""362"""
"2022;""01012604"";""OSPEDALE DI FOSSANO"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""13"";""49"";""99"";""171"""
"2022;""01012604"";""OSPEDALE DI FOSSANO"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""***"";""31"";""63"";""90"";""133"""
"2022;""01060100"";""CLINICA PINNA PINTOR SRL"";""Femmina"";""***"";""***"";""***"";""***"";""13"";""23"";""77"";""135"";""166"";""265"""
"2022;""01060100"";""CLINICA PINNA PINTOR SRL"";""Maschio"";""***"";""***"";""***"";""9"";""14"";""18"";""50"";""89"";""124"";""229"""
"2022;""01060300"";""CLINICA SANTA CATERINA DA SIENA S.R.L."";""Femmina"";""***"";""***"";""14"";""45"";""85"";""96"";""75"";""59"";""49"";""64"""
"2022;""01060300"";""CLINICA SANTA CATERINA DA SIENA S.R.L."";""Maschio"";""7"";""***"";""10"";""23"";""29"";""32"";""55"";""80"";""103"";""116"""
"2022;""01060400"";""SEDES SAPIENTIAE SRL"";""Femmina"";""***"";""***"";""***"";""21"";""89"";""104"";""116"";""80"";""62"";""42"""
"2022;""01060400"";""SEDES SAPIENTIAE SRL"";""Maschio"";""***"";""***"";""13"";""16"";""19"";""11"";""27"";""53"";""88"";""61"""
"2022;""01061000"";""CASA DI CURA FORNACA DISESSANT"";""Femmina"";""7"";""14"";""41"";""67"";""178"";""272"";""457"";""385"";""256"";""295"""
"2022;""01061000"";""CASA DI CURA FORNACA DISESSANT"";""Maschio"";""***"";""18"";""87"";""111"";""123"";""163"";""261"";""555"";""414"";""334"""
"2022;""01061100"";""VILLA MARIA PIA HOSPITAL"";""Femmina"";""***"";""***"";""36"";""52"";""107"";""200"";""417"";""655"";""751"";""836"""
"2022;""01061100"";""VILLA MARIA PIA HOSPITAL"";""Maschio"";""***"";""***"";""68"";""96"";""132"";""200"";""443"";""684"";""987"";""1.027"""
"2022;""01061200"";""CASA DI CURA KOELLIKER OSPEDALINO"";""Femmina"";""***"";""10"";""30"";""33"";""68"";""115"";""284"";""379"";""519"";""607"""
"2022;""01061200"";""CASA DI CURA KOELLIKER OSPEDALINO"";""Maschio"";""***"";""10"";""67"";""81"";""105"";""146"";""276"";""426"";""425"";""414"""
"2022;""01061400"";""CASA DI CURA VILLE AUGUSTA - S.R.L."";""Femmina"";""***"";""***"";""***"";""26"";""51"";""54"";""100"";""112"";""75"";""45"""
"2022;""01061400"";""CASA DI CURA VILLE AUGUSTA - S.R.L."";""Maschio"";""***"";""***"";""***"";""15"";""52"";""61"";""143"";""120"";""56"";""14"""
"2022;""01061500"";""CASA DI CURA VILLA PATRIZIA - S.R.L."";""Femmina"";""***"";""***"";""***"";""7"";""6"";""16"";""52"";""39"";""34"";""16"""
"2022;""01061500"";""CASA DI CURA VILLA PATRIZIA - S.R.L."";""Maschio"";""***"";""***"";""***"";""***"";""10"";""12"";""41"";""44"";""14"";""***"""
"2022;""01061600"";""CASA DI CURA CLINICA EPOREDIESE"";""Femmina"";""***"";""16"";""19"";""12"";""13"";""37"";""101"";""212"";""273"";""270"""
"2022;""01061600"";""CASA DI CURA CLINICA EPOREDIESE"";""Maschio"";""***"";""29"";""22"";""29"";""50"";""39"";""126"";""246"";""402"";""346"""
"2022;""01061700"";""CASA DI CURA VILLE TURINA AMIONE"";""Femmina"";""***"";""***"";""26"";""100"";""75"";""77"";""141"";""180"";""150"";""61"""
"2022;""01061700"";""CASA DI CURA VILLE TURINA AMIONE"";""Maschio"";""***"";""***"";""***"";""24"";""35"";""60"";""120"";""123"";""80"";""30"""
"2022;""01061800"";""CASA DI CURA E RIPOSO S. LUCA S.P.A."";""Femmina"";""***"";""***"";""22"";""45"";""178"";""306"";""505"";""401"";""273"";""331"""
"2022;""01061800"";""CASA DI CURA E RIPOSO S. LUCA S.P.A."";""Maschio"";""***"";""***"";""15"";""39"";""76"";""148"";""261"";""279"";""254"";""278"""
"2022;""01062000"";""CASA DI CURA VILLA DI SALUTE SPA"";""Femmina"";""***"";""***"";""10"";""30"";""18"";""34"";""95"";""88"";""59"";""30"""
"2022;""01062000"";""CASA DI CURA VILLA DI SALUTE SPA"";""Maschio"";""***"";""***"";""***"";""14"";""33"";""57"";""85"";""67"";""40"";""25"""
"2022;""01062100"";""CASA DI CURA VILLA SERENA - S.P.A."";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""20"";""75"";""244"";""411"""
"2022;""01062100"";""CASA DI CURA VILLA SERENA - S.P.A."";""Maschio"";""***"";""***"";""***"";""***"";""***"";""10"";""38"";""146"";""274"";""305"""
"2022;""01062200"";""CASA DI CURA VILLA IDA"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""17"";""55"";""133"";""455"""
"2022;""01062200"";""CASA DI CURA VILLA IDA"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""***"";""36"";""76"";""100"";""233"""
"2022;""01062300"";""VILLA PAPA GIOVANNI XXIII"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""23"";""80"";""652"""
"2022;""01062300"";""VILLA PAPA GIOVANNI XXIII"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""***"";""16"";""37"";""69"";""378"""
"2022;""01062600"";""POLICLINICO DI MONZA SPA - CASA DI CURA"";""Femmina"";""***"";""***"";""9"";""22"";""60"";""99"";""189"";""288"";""424"";""316"""
"2022;""01062600"";""POLICLINICO DI MONZA SPA - CASA DI CURA"";""Maschio"";""***"";""***"";""27"";""29"";""82"";""78"";""166"";""318"";""401"";""272"""
"2022;""01062700"";""CASA DI CURA SAN GIORGIO SRL"";""Femmina"";""***"";""***"";""***"";""8"";""21"";""26"";""58"";""53"";""40"";""28"""
"2022;""01062700"";""CASA DI CURA SAN GIORGIO SRL"";""Maschio"";""***"";""***"";""***"";""17"";""30"";""59"";""49"";""45"";""23"";""***"""
"2022;""01062800"";""POLICLINICO DI MONZA SPA - PRESIDIO CLIN"";""Femmina"";""***"";""***"";""6"";""26"";""71"";""144"";""207"";""221"";""249"";""245"""
"2022;""01062800"";""POLICLINICO DI MONZA SPA - PRESIDIO CLIN"";""Maschio"";""***"";""***"";""17"";""31"";""40"";""77"";""157"";""255"";""307"";""274"""
"2022;""01062900"";""CASA DI CURA L'EREMO DI MIAZZINA"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""16"";""27"";""77"";""433"""
"2022;""01062900"";""CASA DI CURA L'EREMO DI MIAZZINA"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""10"";""17"";""53"";""132"";""208"""
"2022;""01063000"";""CASA DI CURA S.CARLO DI ARONA"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""9"";""17"";""231"""
"2022;""01063000"";""CASA DI CURA S.CARLO DI ARONA"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""***"";""9"";""17"";""42"";""139"""
"2022;""01063100"";""CASA DI CURA SAN MICHELE"";""Femmina"";""***"";""***"";""***"";""14"";""9"";""27"";""52"";""75"";""53"";""26"""
"2022;""01063100"";""CASA DI CURA SAN MICHELE"";""Maschio"";""***"";""***"";""***"";""10"";""26"";""39"";""82"";""67"";""26"";""12"""
"2022;""01063200"";""CASA DI CURA CITTA' DI BRA"";""Femmina"";""15"";""23"";""60"";""85"";""213"";""345"";""626"";""688"";""705"";""430"""
"2022;""01063200"";""CASA DI CURA CITTA' DI BRA"";""Maschio"";""21"";""36"";""123"";""207"";""286"";""293"";""511"";""750"";""735"";""444"""
"2022;""01063300"";""ISTITUTO CLIMATICO DI ROBILANTE S.R.L."";""Femmina"";""***"";""***"";""***"";""***"";""***"";""6"";""10"";""35"";""84"";""355"""
"2022;""01063300"";""ISTITUTO CLIMATICO DI ROBILANTE S.R.L."";""Maschio"";""***"";""***"";""***"";""***"";""***"";""***"";""12"";""27"";""62"";""170"""
"2022;""01063400"";""CASA DI CURA MONTESERRAT S.R.L"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""7"";""11"";""37"";""176"""
"2022;""01063400"";""CASA DI CURA MONTESERRAT S.R.L"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""7"";""***"";""32"";""35"";""129"""
"2022;""01063500"";""CASA DI CURA """"LA RESIDENZA"""""";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""25"";""80"";""208"";""352"""
"2022;""01063500"";""CASA DI CURA """"LA RESIDENZA"""""";""Maschio"";""***"";""***"";""***"";""***"";""***"";""***"";""27"";""84"";""135"";""174"""
"2022;""01063900"";""CASA DI CURA S. ANNA SPA"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""7"";""16"";""73"";""153"";""410"""
"2022;""01063900"";""CASA DI CURA S. ANNA SPA"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""11"";""33"";""57"";""75"";""174"""
"2022;""01064100"";""CASA DI CURA VILLA IGEA"";""Femmina"";""***"";""***"";""19"";""14"";""33"";""45"";""231"";""418"";""797"";""784"""
"2022;""01064100"";""CASA DI CURA VILLA IGEA"";""Maschio"";""***"";""***"";""46"";""79"";""87"";""90"";""280"";""478"";""501"";""448"""
"2022;""01064200"";""CASA DI CURA SANT'ANNA"";""Femmina"";""***"";""***"";""***"";""14"";""25"";""25"";""65"";""69"";""50"";""29"""
"2022;""01064200"";""CASA DI CURA SANT'ANNA"";""Maschio"";""***"";""***"";""***"";""9"";""38"";""43"";""49"";""69"";""29"";""12"""
"2022;""01064400"";""CASA DI CURA VILLA GRAZIA"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""14"";""46"";""131"";""492"""
"2022;""01064400"";""CASA DI CURA VILLA GRAZIA"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""***"";""23"";""57"";""82"";""272"""
"2022;""01064600"";""CASA DI CURA VILLA IRIS SRL"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""12"";""45"";""567"""
"2022;""01064600"";""CASA DI CURA VILLA IRIS SRL"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""17"";""61"";""299"""
"2022;""01064700"";""FONDAZIONE ORIZZONTE SPERANZA - ONLUS CA"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""27"";""88"";""202"";""276"""
"2022;""01064700"";""FONDAZIONE ORIZZONTE SPERANZA - ONLUS CA"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""7"";""47"";""112"";""190"";""191"""
"2022;""01064800"";""ADRIANA S.R.L."";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""9"";""6"";""30"";""426"""
"2022;""01064800"";""ADRIANA S.R.L."";""Maschio"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""12"";""42"";""231"""
"2022;""01064900"";""HABILITA S.P.A. - PRESIDIO I CEDRI"";""Femmina"";""***"";""***"";""11"";""9"";""14"";""20"";""73"";""226"";""489"";""454"""
"2022;""01064900"";""HABILITA S.P.A. - PRESIDIO I CEDRI"";""Maschio"";""***"";""***"";""23"";""25"";""37"";""47"";""153"";""267"";""331"";""212"""
"2022;""01065100"";""CASA DI CURA MADONNA DEI BOSCHI"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""9"";""59"";""112"";""172"""
"2022;""01065100"";""CASA DI CURA MADONNA DEI BOSCHI"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""8"";""17"";""44"";""71"";""82"""
"2022;""01065300"";""PROMEA S.P.A."";""Femmina"";""***"";""***"";""***"";""***"";""10"";""31"";""11"";""9"";""***"";""***"""
"2022;""01065300"";""PROMEA S.P.A."";""Maschio"";""***"";""***"";""***"";""***"";""12"";""25"";""8"";""14"";""***"";""***"""
"2022;""01065500"";""CASA DI CURA CELLINI"";""Femmina"";""***"";""***"";""56"";""35"";""69"";""155"";""351"";""542"";""666"";""624"""
"2022;""01065500"";""CASA DI CURA CELLINI"";""Maschio"";""***"";""***"";""101"";""156"";""230"";""239"";""440"";""688"";""801"";""655"""
"2022;""01065600"";""POLICLINICO DI MONZA S.P.A. PRESIDIO CLI"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""9"";""18"";""50"";""83"";""164"""
"2022;""01065600"";""POLICLINICO DI MONZA S.P.A. PRESIDIO CLI"";""Maschio"";""***"";""***"";""***"";""***"";""6"";""14"";""39"";""48"";""61"";""89"""
"2022;""01065700"";""CASA DI CURA CENTRO R.R.F. MONS. LUIGI N"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""27"";""75"";""180"";""313"""
"2022;""01065700"";""CASA DI CURA CENTRO R.R.F. MONS. LUIGI N"";""Maschio"";""***"";""***"";""***"";""***"";""6"";""6"";""21"";""67"";""108"";""157"""
"2022;""01065900"";""S.R.L. TERAPEUTICENTER - ISTITUTO MEDICO"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""***"""
"2022;""01066200"";""MOD CENTRO MEDICO CHIRURGICO"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""***"""
"2022;""01066200"";""MOD CENTRO MEDICO CHIRURGICO"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""***"""
"2022;""01066400"";""LARC 2 S.R.L."";""Femmina"";""***"";""***"";""***"";""***"";""10"";""6"";""6"";""***"";""***"";""***"""
"2022;""01066400"";""LARC 2 S.R.L."";""Maschio"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""***"""
"2022;""01066500"";""CASA DI CURA VILLA CRISTINA"";""Femmina"";""***"";""***"";""21"";""60"";""41"";""60"";""136"";""141"";""95"";""32"""
"2022;""01066500"";""CASA DI CURA VILLA CRISTINA"";""Maschio"";""***"";""***"";""***"";""35"";""58"";""71"";""113"";""109"";""39"";""12"""
"2022;""01066600"";""POLICLINICO DI MONZA"";""Femmina"";""***"";""***"";""16"";""22"";""30"";""67"";""221"";""409"";""757"";""1.054"""
"2022;""01066600"";""POLICLINICO DI MONZA"";""Maschio"";""***"";""***"";""20"";""66"";""56"";""94"";""282"";""600"";""996"";""970"""
"2022;""01066800"";""LARC SPA DAY SURGERY TIPO C"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""***"""
"2022;""01066800"";""LARC SPA DAY SURGERY TIPO C"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""***"""
