orpha_code,name,expert_link,disorder_type,disorder_group,prevalence_class,prevalence_geo,prevalence_value,inheritance,age_of_onset,average_age_onset,average_age_death,complexity_score,complexity_level
366,Malattia da deposito di glicogeno da deficit dell'enzima deramificante il glicogeno,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=366,Malattia,Malattia,1-9 / 100 000,United States,,,,,,3,Media
166093,"Malattia di von Willebrand, tipo 2N",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=166093,Sottotipo clinico,Sottotipo della malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
368,Malattia da deposito di glicogeno da deficit di glicogeno fosforilasi muscolare,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=368,Malattia,Malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
166096,"Malattia di von Willebrand, tipo 3",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=166096,Sottotipo clinico,Sottotipo della malattia,1-9 / 1 000 000,Mondiale,,,,,,4,Media
367,Malattia da deposito di glicogeno da deficit dell'enzima ramificante il glicogeno,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=367,Malattia,Malattia,1-9 / 1 000 000,Mondiale,,,,,,4,Media
371,Malattia da deposito di glicogeno da deficit di fosfofruttochinasi muscolare,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=371,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
166105,Encefalopatia mitocondriale infantile correlata a FASTKD2,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=166105,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
369,Malattia da deposito di glicogeno da deficit della glicogeno fosforilasi epatica,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=369,Malattia,Malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
447,Emoglobinuria parossistica notturna,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=447,Malattia,Malattia,1-9 / 1 000 000,United Kingdom,,,,,,4,Media
166108,Disabilità intellettiva tipo Birk-Barel,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=166108,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
166113,Sindrome di Bazex,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=166113,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
535,Lupus eritematoso cutaneo,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=535,Gruppo di fenomi,Gruppo di malattie,1-5 / 10 000,Europa,,,,,,2,Bassa
166119,Osteopoichilosi isolata,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=166119,Malattia,Malattia,1-9 / 100 000,Mondiale,,,,,,3,Media
487,Malattia di Krabbe,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=487,Malattia,Malattia,1-9 / 1 000 000,United States,,,,,,4,Media
166260,"Dentinogenesi imperfetta, tipo 2",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=166260,Sottotipo clinico,Sottotipo della malattia,1-5 / 10 000,Europa,,,,,,2,Bassa
166265,"Dentinogenesi imperfetta, tipo 3",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=166265,Sottotipo clinico,Sottotipo della malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
583,"Mucopolisaccaridosi, tipo 6",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=583,Malattia,Malattia,1-9 / 1 000 000,Europa,,,,,,4,Media
166272,Odontocondrodisplasia,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=166272,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
576,"Mucolipidosi, tipo II",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=576,Malattia,Malattia,1-9 / 1 000 000,Europa,,,,,,4,Media
166277,Displasia scheletrica con ossa wormiane - fratture multiple - dentinogenesi imperfetta,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=166277,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
812,"Sialidosi, tipo 1",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=812,Malattia,Malattia,<1 / 1 000 000,Europa,,,,,,5,Alta
166282,Sindrome familiare del seno malato,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=166282,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
578,"Mucolipidosi, tipo IV",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=578,Malattia,Malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
166286,Nevo eccrino porocheratosico del dotto dermico e dell'ostio,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=166286,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
577,Mucolipidosi tipo III,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=577,Malattia,Malattia,1-9 / 1 000 000,Europa,,,,,,4,Media
166291,Dirofilariosi,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=166291,Malattia,Malattia,<1 / 1 000 000,Europa,,,,,,5,Alta
166308,Epilessia focale infantile benigna con punte e onde sulla linea mediana durante il sonno,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=166308,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
2912,Poliomielite,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2912,Malattia,Malattia,<1 / 1 000 000,Europa,,,,,,5,Alta
796,Malattia di Sandhoff,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=796,Malattia,Malattia,1-9 / 100 000,Portugal,,,,,,3,Media
166409,Epilessia fotosensibile,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=166409,Malattia,Malattia,1-5 / 10 000,Mondiale,,,,,,2,Bassa
801,Sclerodermia,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=801,Gruppo di fenomi,Gruppo di malattie,1-9 / 100 000,Mondiale,,,,,,3,Media
461,Ittiosi recessiva legata all'X,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=461,Malattia,Malattia,1-5 / 10 000,Europa,,,,,,2,Bassa
166421,Convulsioni indotte dall'orgasmo,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=166421,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
166418,Epilessia riflessa da assunzione di cibo,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=166418,Malattia,Malattia,1-9 / 1 000 000,Mondiale,,,,,,4,Media
584,"Mucopolisaccaridosi, tipo 7",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=584,Malattia,Malattia,<1 / 1 000 000,Europa,,,,,,5,Alta
166412,Epilessia riflessa da acqua calda,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=166412,Malattia,Malattia,1-9 / 100 000,Mondiale,,,,,,3,Media
166433,Crisi epilettiche indotte dalla lettura,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=166433,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
881,Sindrome di Turner,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=881,Sindrome malformativa,Malattia,1-9 / 100 000,Europa,,,,,,3,Media
166424,Convulsioni legate all'attività mentale,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=166424,Malattia,Malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
95,Atassia di Friedreich,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=95,Malattia,Malattia,1-9 / 100 000,Europa,,,,,,3,Media
848,Beta talassemia,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=848,Gruppo di fenomi,Gruppo di malattie,1-9 / 100 000,Mondiale,,,,,,3,Media
846,Alfa talassemia,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=846,Gruppo di fenomi,Gruppo di malattie,Sconosciuto,Europa,,,,,,0,Bassa
586,Fibrosi cistica,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=586,Malattia,Malattia,1-5 / 10 000,Europa,,,,,,2,Bassa
262,Distrofia muscolare di Duchenne e Becker,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=262,Gruppo di fenomi,Gruppo di malattie,1-9 / 1 000 000,United Kingdom,,,,,,4,Media
261,Distrofia muscolare di Emery-Dreifuss,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=261,Malattia,Malattia,1-9 / 1 000 000,Europa,,,,,,4,Media
550,MELAS,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=550,Malattia,Malattia,1-9 / 1 000 000,Japan,,,,,,4,Media
269,Distrofia facio-scapolo-omerale,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=269,Malattia,Malattia,1-9 / 100 000,Europa,,,,,,3,Media
480,Sindrome di Kearns-Sayre,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=480,Malattia,Malattia,1-9 / 100 000,Europa,,,,,,3,Media
593,Miopatia miofibrillare,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=593,Categoria,Gruppo di malattie,Sconosciuto,Mondiale,,,,,,0,Bassa
551,MERRF,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=551,Malattia,Malattia,1-9 / 1 000 000,Sweden,,,,,,4,Media
597,Miopatia congenita central core,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=597,Malattia,Malattia,1-9 / 1 000 000,United Kingdom,,,,,,4,Media
607,Miopatia nemalinica,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=607,Gruppo di fenomi,Gruppo di malattie,1-9 / 100 000,Europa,,,,,,3,Media
163746,Neuropatia periferica demielinizzante-leucodistrofia centrale demielinizzante-sindrome di Waardenburg-malattia di Hirschsprung,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=163746,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
684,Paramiotonia congenita di von Eulenburg,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=684,Malattia,Malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
163931,Acrodermatite continua di Hallopeau,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=163931,Malattia,Malattia,1-9 / 100 000,Mondiale,,,,,,3,Media
273,Distrofia miotonica di Steinert,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=273,Malattia,Malattia,1-9 / 100 000,Europa,,,,,,3,Media
163937,"Deficit cognitivo legato all'X, tipo Najm",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=163937,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
163934,Cheratocongiuntivite atopica,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=163934,Malattia,Malattia,1-5 / 10 000,Europa,,,,,,2,Bassa
614,Malattia di Thomsen e Becker,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=614,Malattia,Malattia,1-9 / 100 000,Mondiale,,,,,,3,Media
163921,Encefalite limbica acuta post-trapianto,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=163921,Situazione clinica particolare in una malattia o sindrome,Malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
163966,"Condrodisplasia dominante legata all'X, tipo Chassaing-Lacombe",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=163966,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
163971,"Ritardo mentale legato all'X, tipo Cilliers",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=163971,Malattia,Malattia,<1 / 1 000 000,Mondiale,,,,,,5,Alta
163976,Disabilità intellettiva legata all'X tipo Van Esch,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=163976,Sindrome malformativa,Malattia,<1 / 1 000 000,Mondiale,,,,,,5,Alta
163979,Sindrome cranio-facio-scheletrica con disabilità intellettiva legata all'X,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=163979,Malattia,Malattia,<1 / 1 000 000,Mondiale,,,,,,5,Alta
163956,"Disabilità intellettiva legata all'X, tipo Nascimento",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=163956,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
163961,Sindrome cerebrale-cerebbellare-coloboma legate all'X,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=163961,Malattia,Malattia,<1 / 1 000 000,Mondiale,,,,,,5,Alta
164726,Leucemia mieloide acuta e sindromi mielodisplastiche correlate alle radiazioni,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=164726,Malattia,Malattia,1-9 / 1 000 000,Mondiale,,,,,,4,Media
324,Malattia di Fabry,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=324,Malattia,Malattia,1-9 / 1 000 000,Mondiale,,,,,,4,Media
163985,Sindrome da iperecplessia ed epilessia,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=163985,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
778,Sindrome di Rett,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=778,Malattia,Malattia,1-9 / 100 000,Europa,,,,,,3,Media
72,Sindrome di Angelman,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=72,Sindrome malformativa,Malattia,1-9 / 100 000,Mondiale,,,,,,3,Media
307,Epilessia mioclonica giovanile,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=307,Malattia,Malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
1941,Epilessia con assenze del giovane,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=1941,Malattia,Malattia,1-9 / 100 000,Europa,,,,,,3,Media
892,Malattia di von Hippel-Lindau,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=892,Malattia,Malattia,1-9 / 100 000,United Kingdom,,,,,,3,Media
731,Rene policistico autosomico recessivo,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=731,Malattia,Malattia,1-9 / 100 000,Germany,,,,,,3,Media
164736,Sindrome familiare da anticipazione  del sonno,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=164736,Malattia,Malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
138,Sindrome CHARGE,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=138,Sindrome malformativa,Malattia,1-9 / 100 000,Canada,,,,,,3,Media
558,Sindrome di Marfan,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=558,Malattia,Malattia,1-5 / 10 000,Europa,,,,,,2,Bassa
803,Sclerosi laterale amiotrofica,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=803,Malattia,Malattia,1-9 / 100 000,Europa,,,,,,3,Media
100,Atassia - telangectasia,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=100,Malattia,Malattia,1-5 / 10 000,Norway,,,,,,2,Bassa
733,Poliposi adenomatosa familiare,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=733,Malattia,Malattia,1-9 / 100 000,Mondiale,,,,,,3,Media
399,Malattia di Huntington,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=399,Malattia,Malattia,1-9 / 100 000,Greece,,,,,,3,Media
165955,Miasi delle ferite,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=165955,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
501,Malattia di Lafora,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=501,Malattia,Malattia,1-9 / 1 000 000,France,,,,,,4,Media
165958,Miasi cavitaria,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=165958,Malattia,Malattia,<1 / 1 000 000,Mondiale,,,,,,5,Alta
870,Sindrome di Down,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=870,Sindrome malformativa,Malattia,6-9 / 10 000,Mondiale,,,,,,1,Bassa
512,Leucodistrofia metacromatica,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=512,Malattia,Malattia,1-9 / 100 000,Europa,,,,,,3,Media
166016,Displasia epifisaria multipla tipo Lowry,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=166016,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
567,Sindrome da delezione 22q11.2,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=567,Sindrome malformativa,Malattia,1-9 / 100 000,Europa,,,,,,3,Media
232,Anemia a cellule falciformi,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=232,Malattia,Malattia,1-5 / 10 000,France,,,,,,2,Bassa
536,Lupus eritematoso sistemico,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=536,Malattia,Malattia,1-5 / 10 000,France,,,,,,2,Bassa
166002,Displasia epifisaria multipla da anomalia del collagene 9,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=166002,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
534,Sindrome oculo-cerebro-renale di Lowe,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=534,Sindrome malformativa,Malattia,1-9 / 1 000 000,Mondiale,,,,,,4,Media
790,Retinoblastoma,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=790,Malattia,Malattia,<1 / 1 000 000,Europa,,,,,,5,Alta
165991,Iperinsulinismo indotto dall'esercizio,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=165991,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
652,Neoplasia endocrina multipla tipo 1,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=652,Malattia,Malattia,1-9 / 100 000,Europa,,,,,,3,Media
908,Sindrome dell'X fragile,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=908,Sindrome malformativa,Malattia,1-5 / 10 000,Mondiale,,,,,,2,Bassa
3099,Febbre reumatica,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=3099,Malattia,Malattia,1-9 / 100 000,Europa,,,,,,3,Media
739,Sindrome di Prader-Willi,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=739,Malattia,Malattia,1-9 / 100 000,Mondiale,,,,,,3,Media
47,Agammaglobulinemia legata all'X,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=47,Sottotipo clinico,Sottotipo della malattia,1-9 / 1 000 000,Europa,,,,,,4,Media
580,Mucopolisaccaridosi tipo 2,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=580,Malattia,Malattia,1-9 / 1 000 000,Europa,,,,,,4,Media
579,"Mucopolisaccaridosi, tipo 1",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=579,Malattia,Malattia,1-9 / 100 000,Europa,,,,,,3,Media
905,Malattia di Wilson,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=905,Malattia,Malattia,1-9 / 100 000,Mondiale,,,,,,3,Media
792,Retinoschisi legata all'X,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=792,Sindrome malformativa,Malattia,1-9 / 100 000,Denmark,,,,,,3,Media
163525,Lupus eritematoso cutaneo subacuto,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=163525,Malattia,Malattia,1-9 / 1 000 000,United States,,,,,,4,Media
827,Malattia di Stargardt,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=827,Malattia,Malattia,1-5 / 10 000,Europa,,,,,,2,Bassa
906,Sindrome di Wiskott-Aldrich,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=906,Malattia,Malattia,1-9 / 1 000 000,Europa,,,,,,4,Media
904,Sindrome di Williams,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=904,Sindrome malformativa,Malattia,1-5 / 10 000,Norway,,,,,,2,Bassa
280,Sindrome di Wolf-Hirschhorn,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=280,Sindrome malformativa,Malattia,1-9 / 100 000,Europa,,,,,,3,Media
15,Acondroplasia,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=15,Malattia,Malattia,1-9 / 100 000,Mondiale,,,,,,3,Media
96,Atassia con deficit della vitamina E,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=96,Malattia,Malattia,1-9 / 1 000 000,Europa,,,,,,4,Media
101,Atrofia dentato-rubro-pallido-luisiana,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=101,Malattia,Malattia,1-9 / 1 000 000,Japan,,,,,,4,Media
783,Sindrome di Rubinstein-Taybi,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=783,Sindrome malformativa,Malattia,1-9 / 1 000 000,Netherlands,,,,,,4,Media
163649,Sindrome displasia spondiloepifisaria-craniosinostosi-palatoschisi-cataratta-disabilità intellettiva,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=163649,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
631,Deficit isolato dell'ormone della crescita non acquisito,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=631,Malattia,Malattia,1-5 / 10 000,Europa,,,,,,2,Bassa
276,Immunodeficienza combinata grave T-B+ da deficit della catena gamma,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=276,Malattia,Malattia,1-9 / 100 000,Europa,,,,,,3,Media
163654,Sindrome da displasia spondiloepifisaria-brachidattilia-disturbo del linguaggio,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=163654,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
481,Malattia di Kennedy,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=481,Malattia,Malattia,<1 / 1 000 000,Italy,,,,,,5,Alta
664,Deficit di ornitina transcarbamilasi,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=664,Malattia,Malattia,1-9 / 100 000,Europa,,,,,,3,Media
163668,"Displasia spondiloepifisaria tardiva, tipo MacDermot",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=163668,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
